crs_arr_time,frequency,relative_frequency
735,27624,0.0017343604467371968
730,27177,0.0017062957522797856
2005,27168,0.0017057306913175559
1505,27121,0.0017027798174036892
2300,27113,0.0017022775409928183
2250,26157,0.0016422555098937466
2240,25996,0.0016321471971249698
2230,25996,0.0016321471971249698
830,25859,0.0016235457135888058
2330,25674,0.0016119305715874164
725,25363,0.0015924045761148103
745,25014,0.0015704927676905675
2325,24785,0.0015561151054293882
2225,24760,0.0015545454916454167
2245,24719,0.0015519713250397033
810,24707,0.001551217910423397
835,24389,0.001531252423091279
2215,24301,0.001525727382571699
2235,24262,0.0015232787850687035
805,24065,0.0015109102284510078
2210,23888,0.0014997973628604892
2205,23862,0.001498164964525159
2220,23682,0.0014868637452805638
2315,23605,0.0014820293348259315
825,23052,0.001447309477924481
820,22887,0.0014369500269502686
2320,22494,0.001412275698266236
800,22447,0.0014093248243523696
740,22288,0.0013993420806863105
2305,22274,0.0013984630969672864
2310,22066,0.0013854039102846431
2335,21463,0.0013475448258152495
2340,21138,0.0013271398466236195
1359,21107,0.0013251935255314947
1929,20980,0.0013172198875089193
755,20833,0.0013079905584591667
2350,20833,0.0013079905584591667
1924,20562,0.001290975945040915
1659,20463,0.0012847602744563878
715,19622,0.001231958466763585
720,19306,0.0012121185485341847
700,19144,0.0012019474512140493
1914,19013,0.0011937226749860383
710,18860,0.0011841166386281324
2159,18800,0.0011803495655466007
1919,18799,0.0011802867809952418
705,18717,0.0011751384477838153
1934,18305,0.0011492712126239641
1419,18177,0.0011412347900500298
1559,17975,0.0011285523106755399
859,17964,0.0011278616806105924
1259,17693,0.0011108470671923408
2059,17637,0.0011073311323162446
2029,17623,0.0011064521485972204
2345,17439,0.00109489979114719
1729,17401,0.0010925139781955532
1629,17198,0.0010797687142697042
1939,17004,0.001067588511306085
1859,16840,0.0010572918448832317
1429,16836,0.0010570407066777963
1544,16634,0.0010443582273033062
1704,16365,0.0010274691829877723
1654,16354,0.0010267785529228248
1529,16335,0.0010255856464470065
2129,16310,0.001024016032663035
2119,16234,0.0010192444067597616
2259,16234,0.0010192444067597616
1649,16081,0.0010096383704018557
1459,16022,0.0010059340818716828
1129,15889,0.0009975837365409541
1414,15781,0.000990803004994197
1059,15752,0.00098898225300479
1909,15682,0.0009845873344096698
1744,15562,0.0009770531882466063
1739,15542,0.0009757974972194292
2109,15448,0.0009698957493916962
5,15440,0.0009693934729808253
1849,15413,0.000967698290094136
1854,15396,0.0009666309527210353
1619,15394,0.0009665053836183177
1124,15389,0.0009661914608615233
1339,15309,0.0009611686967528144
853,15233,0.0009563970708495409
1539,15043,0.0009444680060913572
2114,15006,0.0009421449776910793
1624,14992,0.0009412659939720552
854,14820,0.000930467051138331
851,14770,0.0009273278235703879
1904,14670,0.0009210493684345017
2124,14661,0.000920484307472272
1724,14579,0.0009153359742608454
1439,14561,0.0009142058523363858
1534,14548,0.0009133896531687206
2024,14500,0.0009103759947034953
1714,14436,0.000906357783416528
1049,14418,0.0009052276614920686
1844,14393,0.000903658047708097
1344,14390,0.0009034696940540205
1759,14378,0.0009027162794377141
1709,14261,0.0008953704869287273
2019,14249,0.0008946170723124209
1829,14238,0.0008939264422474735
1734,14193,0.0008911011374363247
1409,14188,0.0008907872146795304
1349,14150,0.0008884014017278936
2049,14082,0.000884132052235491
1104,14034,0.0008811183937702657
1719,14026,0.0008806161173593947
1657,13945,0.000875530568699327
1554,13940,0.0008752166459425327
1229,13836,0.0008686870526012111
1114,13828,0.0008681847761903401
1204,13784,0.0008654222559305502
929,13758,0.0008637898575952199
1119,13725,0.0008617179674003774
1708,13696,0.0008598972154109704
1652,13664,0.0008578881097674869
1314,13659,0.0008575741870106926
1109,13658,0.0008575114024593337
655,13643,0.0008565696341889508
1449,13614,0.0008547488821995438
1644,13598,0.000853744329377802
1438,13578,0.0008524886383506247
1443,13545,0.0008504167481557823
1839,13534,0.0008497261180908348
1658,13518,0.000848721565269093
939,13484,0.0008465868905228917
10,13476,0.0008460846141120209
1044,13466,0.0008454567685984323
1023,13435,0.0008435104475063075
1639,13420,0.0008425686792359246
1656,13392,0.0008408107117978764
1653,13386,0.0008404340044897233
15,13368,0.0008393038825652637
1354,13364,0.0008390527443598283
919,13360,0.0008388016061543929
1024,13341,0.0008376086996785745
1448,13329,0.0008368552850622681
1019,13312,0.0008357879476891675
1029,13310,0.0008356623785864498
1113,13307,0.0008354740249323732
1959,13306,0.0008354112403810143
1103,13269,0.0008330882119807364
1604,13241,0.0008313302445426883
1348,13234,0.0008308907526831762
849,13219,0.0008299489844127933
1434,13187,0.0008279398787693098
852,13179,0.0008274376023584389
1549,13178,0.0008273748178070801
650,13172,0.0008269981104989269
2139,13172,0.0008269981104989269
848,13151,0.0008256796349203907
858,13150,0.0008256168503690319
904,13141,0.0008250517894068021
857,13093,0.0008220381309415768
1418,13083,0.0008214102854279882
1022,13047,0.0008191500415790691
2358,13040,0.0008187105497195571
2344,13019,0.000817392074141021
1013,12997,0.000816010814011126
1337,12984,0.0008151946148434609
1628,12981,0.0008150062611893843
1618,12974,0.0008145667693298722
1021,12956,0.0008134366474054128
1039,12934,0.0008120553872755178
1148,12921,0.0008112391881078526
1219,12914,0.0008107996962483405
1139,12910,0.0008105485580429051
1913,12900,0.0008099207125293165
1127,12892,0.0008094184361184456
1519,12878,0.0008085394523994215
1404,12855,0.0008070954077181677
847,12838,0.000806028070345067
1824,12828,0.0008054002248314784
1424,12806,0.0008040189647015835
1701,12804,0.0008038933955988657
1543,12783,0.0008025749200203297
1234,12777,0.0008021982127121765
1944,12777,0.0008021982127121765
1819,12774,0.0008020098590580998
1444,12771,0.0008018215054040233
2014,12770,0.0008017587208526644
1614,12766,0.000801507582647229
1117,12761,0.0008011936598904347
1011,12746,0.0008002518916200517
2113,12738,0.0007997496152091809
1026,12733,0.0007994356924523866
2104,12705,0.0007976777250143384
1754,12699,0.0007973010177061853
1643,12689,0.0007966731721925967
1446,12687,0.0007965476030898789
1713,12665,0.0007951663429599839
856,12664,0.0007951035584086251
1319,12650,0.000794224574689601
1842,12596,0.0007908342089162225
1149,12588,0.0007903319325053516
1334,12558,0.0007884483959645857
1123,12555,0.0007882600423105092
2144,12552,0.0007880716886564325
1707,12548,0.0007878205504509971
1634,12546,0.0007876949813482794
1737,12538,0.0007871927049374085
1159,12534,0.0007869415667319731
2356,12511,0.0007854975220507193
1428,12502,0.0007849324610884895
1723,12495,0.0007844929692289775
1054,12494,0.0007844301846776186
1357,12474,0.0007831744936504414
1358,12457,0.0007821071562773407
1112,12416,0.0007795329896716274
2158,12391,0.0007779633758876559
1651,12350,0.0007753892092819425
1118,12319,0.0007734428881898178
2058,12304,0.0007725011199194348
1134,12299,0.0007721871971626405
1304,12296,0.000771998843508564
1524,12295,0.0007719360589572051
1232,12293,0.0007718104898544874
1911,12245,0.000768796831389262
1324,12244,0.0007687340468379031
1858,12233,0.0007680434167729557
1342,12203,0.0007661598802321899
1328,12196,0.0007657203883726778
1447,12191,0.0007654064656158835
1018,12169,0.0007640252054859886
1108,12161,0.0007635229290751176
1809,12145,0.0007625183762533758
1322,12136,0.0007619533152911461
1154,12133,0.0007617649616370695
2123,12131,0.0007616393925343517
1718,12117,0.0007607604088153277
1631,12117,0.0007607604088153277
1239,12106,0.0007600697787503802
2102,12105,0.0007600069941990214
1002,12100,0.0007596930714422271
1538,12100,0.0007596930714422271
1918,12095,0.0007593791486854328
1912,12092,0.0007591907950313562
1318,12086,0.000758814087723203
934,12074,0.0007580606731068967
1432,12070,0.0007578095349014613
2134,12055,0.0007568677666310783
1028,12047,0.0007563654902202074
1121,12043,0.0007561143520147719
1338,12042,0.000756051567463413
1012,12039,0.0007558632138093365
645,12039,0.0007558632138093365
1716,12035,0.0007556120756039011
1843,12030,0.0007552981528471068
1834,12027,0.0007551097991930301
1648,12017,0.0007544819536794415
1907,12014,0.000754293600025365
1427,12003,0.0007536029699604175
1627,12001,0.0007534774008576998
1706,11997,0.0007532262626522643
1031,11991,0.0007528495553441112
1014,11991,0.0007528495553441112
844,11985,0.000752472848035958
1922,11985,0.000752472848035958
1442,11974,0.0007517822179710105
2118,11961,0.0007509660188033453
1721,11954,0.0007505265269438332
1933,11943,0.0007498358968788857
1214,11927,0.000748831344057144
2138,11921,0.0007484546367489908
1923,11921,0.0007484546367489908
2357,11911,0.0007478267912354022
1433,11910,0.0007477640066840433
1523,11904,0.0007473872993758901
903,11903,0.0007473245148245313
1244,11902,0.0007472617302731725
1102,11902,0.0007472617302731725
1743,11900,0.0007471361611704547
901,11874,0.0007455037628351243
1037,11873,0.0007454409782837654
1128,11869,0.00074518984007833
1356,11869,0.00074518984007833
1717,11854,0.000744248071807947
1041,11839,0.0007433063035375641
2154,11822,0.0007422389661644635
1346,11809,0.0007414227669967983
1147,11807,0.0007412971978940806
1036,11795,0.0007405437832777742
1137,11788,0.0007401042914182622
1043,11787,0.0007400415068669034
759,11787,0.0007400415068669034
1608,11785,0.0007399159377641856
1556,11784,0.0007398531532128267
1008,11784,0.0007398531532128267
1111,11782,0.000739727584110109
1703,11780,0.0007396020150073913
1616,11779,0.0007395392304560324
1009,11769,0.0007389113849424438
1034,11767,0.0007387858158397261
944,11763,0.0007385346776342907
1126,11759,0.0007382835394288553
1003,11755,0.0007380324012234197
1007,11751,0.0007377812630179843
1038,11741,0.0007371534175043957
1412,11737,0.0007369022792989603
1254,11734,0.0007367139256448837
1908,11722,0.0007359605110285773
1107,11721,0.0007358977264772184
902,11721,0.0007358977264772184
2112,11704,0.0007348303891041179
1116,11689,0.0007338886208337349
1027,11672,0.0007328212834606342
1527,11667,0.0007325073607038399
839,11661,0.0007321306533956867
1749,11651,0.0007315028078820981
1738,11637,0.0007306238241630741
924,11637,0.0007306238241630741
1937,11637,0.0007306238241630741
1032,11635,0.0007304982550603564
2101,11626,0.0007299331940981266
1638,11623,0.00072974484044405
1048,11621,0.0007296192713413323
1329,11610,0.0007289286412763849
1353,11601,0.000728363580314155
1528,11599,0.0007282380112114374
1042,11598,0.0007281752266600785
1617,11594,0.000727924088454643
1017,11582,0.0007271706738383367
1848,11567,0.0007262289055679537
1818,11565,0.0007261033364652361
1804,11557,0.0007256010600543651
1917,11556,0.0007255382755030063
2044,11546,0.0007249104299894177
2009,11540,0.0007245337226812645
1637,11537,0.0007243453690271879
1454,11522,0.0007234036007568049
2111,11519,0.0007232152471027284
2116,11517,0.0007230896780000106
2121,11515,0.000722964108897293
846,11513,0.0007228385397945752
1218,11508,0.0007225246170377809
2126,11506,0.0007223990479350632
2053,11487,0.0007212061414592448
1536,11475,0.0007204527268429385
2054,11472,0.000720264373188862
1436,11470,0.0007201388040861442
1006,11469,0.0007200760195347853
1209,11468,0.0007200132349834264
1203,11466,0.0007198876658807088
1053,11465,0.0007198248813293499
1902,11464,0.000719762096777991
1928,11460,0.0007195109585725556
1248,11456,0.0007192598203671201
1143,11447,0.0007186947594048904
1901,11441,0.0007183180520967372
1336,11434,0.0007178785602372251
943,11428,0.0007175018529290719
1401,11425,0.0007173134992749954
1249,11414,0.0007166228692100479
1417,11410,0.0007163717310046125
1807,11370,0.000713860348950258
1458,11367,0.0007136719952961814
1647,11360,0.0007132325034366694
1158,11349,0.0007125418733717219
1633,11339,0.0007119140278581332
744,11333,0.0007115373205499802
1646,11325,0.0007110350441391092
1057,11317,0.0007105327677282383
1408,11315,0.0007104071986255206
1416,11305,0.000709779353111932
914,11303,0.0007096537840092143
1623,11301,0.0007095282149064965
959,11295,0.0007091515075983433
1808,11295,0.0007091515075983433
1752,11271,0.0007076446783657307
1509,11266,0.0007073307556089364
1242,11253,0.0007065145564412712
1857,11249,0.0007062634182358358
1457,11247,0.000706137849133118
1553,11244,0.0007059494954790415
1838,11239,0.0007056355727222472
1309,11237,0.0007055100036195294
1033,11223,0.0007046310199005053
1157,11220,0.0007044426662464287
1742,11192,0.0007026846988083806
1016,11190,0.0007025591297056629
2132,11189,0.0007024963451543041
1051,11188,0.0007024335606029452
1004,11184,0.0007021824223975097
1642,11181,0.0007019940687434331
2117,11180,0.0007019312841920743
1846,11172,0.0007014290077812034
1146,11168,0.0007011778695757679
2107,11162,0.0007008011622676147
1526,11161,0.0007007383777162559
1441,11159,0.0007006128086135382
1106,11159,0.0007006128086135382
1402,11155,0.0007003616704081028
1548,11153,0.000700236101305385
2056,11153,0.000700236101305385
1533,11148,0.0006999221785485907
1609,11147,0.0006998593939972318
1537,11144,0.0006996710403431553
841,11143,0.0006996082557917964
2108,11141,0.0006994826866890786
1733,11124,0.000698415349315978
1702,11123,0.0006983525647646191
1711,11122,0.0006982897802132603
1413,11120,0.0006981642111105426
2103,11120,0.0006981642111105426
1837,11112,0.0006976619346996716
1313,11110,0.000697536365596954
1233,11107,0.0006973480119428773
1308,11105,0.0006972224428401597
1503,11105,0.0006972224428401597
1056,11104,0.0006971596582888008
1557,11104,0.0006971596582888008
1921,11101,0.0006969713046347241
1222,11097,0.0006967201664292887
1058,11096,0.0006966573818779299
1927,11095,0.000696594597326571
1228,11091,0.0006963434591211356
933,11086,0.0006960295363643413
1817,11079,0.0006955900445048292
1814,11063,0.0006945854916830874
1138,11063,0.0006945854916830874
1558,11058,0.0006942715689262931
1224,11049,0.0006937065079640634
1343,11047,0.0006935809388613456
1712,11046,0.0006935181543099868
2013,11043,0.0006933298006559102
1727,11037,0.000692953093347757
1317,11036,0.0006928903087963982
1437,11026,0.0006922624632828096
1816,11020,0.0006918857559746564
1451,11016,0.000691634617769221
1351,11000,0.0006906300649474792
1452,10988,0.0006898766503311728
1801,10985,0.0006896882966770962
1722,10984,0.0006896255121257374
1122,10979,0.000689311589368943
1823,10977,0.0006891860202662254
1257,10977,0.0006891860202662254
1622,10977,0.0006891860202662254
1827,10970,0.0006887465284067133
2128,10968,0.0006886209593039955
1001,10967,0.0006885581747526368
2048,10966,0.0006884953902012779
1352,10963,0.0006883070365472012
1333,10947,0.0006873024837254595
1813,10941,0.0006869257764173063
1856,10930,0.0006862351463523588
2156,10928,0.0006861095772496411
918,10926,0.0006859840081469234
1407,10924,0.0006858584390442056
1247,10920,0.0006856073008387702
2004,10908,0.0006848538862224638
1144,10903,0.0006845399634656696
2249,10902,0.0006844771789143107
2106,10898,0.0006842260407088753
1532,10893,0.000683912117952081
1641,10889,0.0006836609797466455
1052,10884,0.0006833470569898512
2052,10881,0.0006831587033357746
1101,10862,0.0006819657968599563
1906,10859,0.0006817774432058796
1728,10855,0.0006815263050004442
2153,10855,0.0006815263050004442
1453,10851,0.0006812751667950088
1613,10839,0.0006805217521787024
1141,10820,0.000679328845702884
1316,10819,0.0006792660611515251
1047,10812,0.0006788265692920132
2229,10811,0.0006787637847406543
1932,10809,0.0006786382156379366
1303,10804,0.0006783242928811423
1602,10797,0.0006778848010216302
1201,10771,0.0006762524026862998
1321,10766,0.0006759384799295055
1156,10740,0.000674306081594175
1202,10726,0.000673427097875151
1403,10716,0.0006727992523615624
749,10714,0.0006726736832588447
1206,10712,0.000672548114156127
1632,10708,0.0006722969759506915
1227,10694,0.0006714179922316675
1327,10693,0.0006713552076803086
2143,10678,0.0006704134394099257
909,10678,0.0006704134394099257
1426,10677,0.0006703506548585668
1323,10670,0.0006699111629990548
1938,10670,0.0006699111629990548
1514,10663,0.0006694716711395427
1347,10660,0.0006692833174854662
1423,10659,0.0006692205329341073
1726,10652,0.0006687810410745952
1758,10652,0.0006687810410745952
2152,10646,0.000668404333766442
1332,10643,0.0006682159801123655
946,10641,0.0006680904110096477
2258,10640,0.000668027626458289
1903,10639,0.0006679648419069301
1133,10633,0.0006675881345987769
2329,10633,0.0006675881345987769
1926,10627,0.0006672114272906237
1847,10623,0.0006669602890851883
1211,10621,0.0006668347199824705
1422,10621,0.0006668347199824705
842,10620,0.0006667719354311117
2122,10617,0.0006665835817770351
949,10607,0.0006659557362634465
1046,10602,0.0006656418135066521
1216,10599,0.0006654534598525756
1504,10595,0.0006652023216471402
2137,10589,0.000664825614338987
1541,10582,0.0006643861224794749
1246,10579,0.0006641977688253984
2039,10577,0.0006640721997226806
1853,10570,0.0006636327078631686
2034,10542,0.0006618747404251204
1542,10539,0.0006616863867710439
1748,10534,0.0006613724640142496
2133,10525,0.0006608074030520198
2354,10522,0.0006606190493979433
1612,10515,0.0006601795575384312
917,10514,0.0006601167729870723
2057,10511,0.0006599284193329958
1431,10510,0.0006598656347816369
1258,10498,0.0006591122201653305
1916,10483,0.0006581704518949476
1411,10478,0.0006578565291381533
916,10473,0.000657542606381359
1152,10467,0.0006571658990732059
1226,10465,0.0006570403299704881
1326,10463,0.0006569147608677704
908,10461,0.0006567891917650527
1936,10451,0.0006561613462514641
838,10430,0.000654842870672928
1231,10429,0.0006547800861215691
1626,10424,0.0006544661633647748
1806,10423,0.000654403378813416
1153,10420,0.0006542150251593393
1606,10420,0.0006542150251593393
1208,10413,0.0006537755332998274
954,10409,0.0006535243950943918
1756,10402,0.0006530849032348799
1151,10390,0.0006523314886185735
20,10381,0.0006517664276563437
2136,10371,0.0006511385821427551
1406,10364,0.000650699090283243
2047,10357,0.0006502595984237311
1237,10336,0.000648941122845195
947,10329,0.000648501630985683
1236,10325,0.0006482504927802474
1243,10321,0.000647999354574812
2012,10316,0.0006476854318180177
1747,10314,0.0006475598627153
1833,10300,0.0006466808789962759
1621,10294,0.0006463041716881228
1603,10293,0.0006462413871367639
932,10287,0.0006458646798286107
1311,10281,0.0006454879725204575
1751,10274,0.0006450484806609456
1531,10233,0.0006424743140552322
1931,10222,0.0006417836839902847
2046,10220,0.000641658114887567
1757,10219,0.0006415953303362082
1836,10218,0.0006415325457848493
2141,10214,0.0006412814075794139
1221,10210,0.0006410302693739784
1307,10208,0.0006409047002712607
1131,10195,0.0006400885011035955
1636,10192,0.0006399001474495188
1302,10182,0.0006392723019359302
2028,10174,0.0006387700255250594
1253,10164,0.0006381421800114708
2157,10155,0.000637577119049241
2204,10154,0.0006375143344978821
1312,10140,0.0006366353507788581
912,10133,0.000636195858919346
923,10130,0.0006360075052652695
1611,10128,0.0006358819361625517
1753,10117,0.0006351913060976042
1803,10102,0.0006342495378272213
1601,10100,0.0006341239687245036
2142,10078,0.0006327427085946086
937,10072,0.0006323660012864554
1213,10052,0.0006311103102592782
948,10038,0.0006302313265402541
1142,10036,0.0006301057574375365
1841,10036,0.0006301057574375365
2147,10016,0.0006288500664103592
1256,10015,0.0006287872818590003
1828,10010,0.000628473359102206
906,10009,0.0006284105745508471
2257,9956,0.0006250829933288275
2131,9951,0.0006247690705720332
1607,9935,0.0006237645177502914
1301,9925,0.0006231366722367028
1851,9922,0.0006229483185826262
1136,9916,0.000622571611274473
2018,9909,0.000622132119414961
1517,9904,0.0006218181966581666
2346,9880,0.000620311367425554
941,9876,0.0006200602292201185
1852,9871,0.0006197463064633242
843,9869,0.0006196207373606065
1238,9869,0.0006196207373606065
2328,9864,0.0006193068146038122
1421,9861,0.0006191184609497356
1513,9854,0.0006186789690902237
1341,9850,0.0006184278308847881
829,9848,0.0006183022617820705
1832,9835,0.0006174860626144052
1812,9823,0.0006167326479980989
1217,9774,0.0006136562049815147
2151,9772,0.0006135306358787969
25,9772,0.0006135306358787969
1552,9758,0.0006126516521597729
1551,9754,0.0006124005139543375
951,9751,0.0006122121603002608
1802,9749,0.0006120865911975431
2149,9741,0.0006115843147866722
936,9740,0.0006115215302353134
1521,9738,0.0006113959611325956
2023,9736,0.0006112703920298779
942,9736,0.0006112703920298779
1831,9734,0.0006111448229271602
1822,9730,0.0006108936847217248
831,9725,0.0006105797619649305
1942,9725,0.0006105797619649305
2011,9713,0.0006098263473486241
1212,9710,0.0006096379936945475
953,9708,0.0006095124245918298
1502,9703,0.0006091985018350355
2016,9683,0.0006079428108078582
2309,9678,0.0006076288880510639
600,9667,0.0006069382579861164
907,9653,0.0006060592742670924
2022,9650,0.0006058709206130158
958,9627,0.0006044268759317619
1223,9603,0.0006029200466991493
1732,9599,0.0006026689084937138
2244,9587,0.0006019154938774075
2043,9583,0.000601664355671972
1516,9581,0.0006015387865692544
2051,9581,0.0006015387865692544
1132,9573,0.0006010365101583834
729,9573,0.0006010365101583834
2127,9569,0.000600785371952948
1811,9566,0.0006005970182988714
1331,9557,0.0006000319573366417
1736,9555,0.0005999063882339239
640,9552,0.0005997180345798474
734,9548,0.0005994668963744119
1954,9548,0.0005994668963744119
1949,9535,0.0005986506972067467
1731,9522,0.0005978344980390815
2003,9494,0.0005960765306010333
2026,9491,0.0005958881769469568
2304,9486,0.0005955742541901625
1746,9467,0.0005943813477143441
836,9465,0.0005942557786116264
928,9443,0.0005928745184817315
1518,9436,0.0005924350266222194
2017,9429,0.0005919955347627073
2033,9427,0.0005918699656599897
1501,9420,0.0005914304738004776
1251,9410,0.000590802628286889
1821,9406,0.0005905514900814535
922,9391,0.0005896097218110706
1252,9384,0.0005891702299515585
2319,9369,0.0005882284616811757
956,9353,0.0005872239088594339
2027,9352,0.000587161124308075
1241,9341,0.0005864704942431275
1456,9322,0.0005852775877673091
1522,9310,0.0005845241731510028
957,9305,0.0005842102503942085
2234,9302,0.0005840218967401319
754,9277,0.0005824522829561604
1952,9274,0.0005822639293020838
913,9262,0.0005815105146857774
2254,9261,0.0005814477301344185
2353,9256,0.0005811338073776242
1741,9253,0.0005809454537235477
2008,9200,0.000577617872501528
2001,9198,0.0005774923033988103
2021,9195,0.0005773039497447337
1506,9193,0.000577178380642016
1507,9165,0.0005754204132039679
2237,9123,0.0005727834620468956
30,9119,0.0005725323238414602
938,9116,0.0005723439701873837
739,9094,0.0005709627100574887
1547,9088,0.0005705860027493355
833,9080,0.0005700837263384646
2006,9025,0.0005666305760137272
1826,9015,0.0005660027305001386
2202,9003,0.0005652493158838322
1306,8990,0.000564433116716167
2032,8986,0.0005641819785107316
2007,8984,0.0005640564094080138
2248,8980,0.0005638052712025784
2148,8972,0.0005633029947917076
2252,8971,0.0005632402102403487
1546,8953,0.0005621100883158892
2349,8951,0.0005619845192131714
2339,8951,0.0005619845192131714
931,8939,0.0005612311045968651
747,8935,0.0005609799663914296
1207,8930,0.0005606660436346353
814,8882,0.00055765238516941
2209,8877,0.0005573384624126157
2002,8876,0.0005572756778612568
2326,8875,0.0005572128933098979
911,8869,0.0005568361860017448
952,8869,0.0005568361860017448
1957,8815,0.0005534458202283662
2038,8796,0.0005522529137525478
748,8794,0.0005521273446498302
2036,8744,0.0005489881170818871
926,8725,0.0005477952106060687
1512,8714,0.0005471045805411212
834,8712,0.0005469790114384035
2351,8706,0.0005466023041302504
2042,8697,0.0005460372431680205
2253,8680,0.0005449699057949199
746,8651,0.000543149153805513
837,8645,0.0005427724464973598
1511,8643,0.000542646877394642
